City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Mogadishu,SO,2.0371,45.3438,78.85,83,62,14.38,broken clouds
161,Xining,CN,36.6167,101.7667,59.79,51,100,10.51,moderate rain
162,Mackay,AU,-21.15,149.2,73.38,53,73,14.97,broken clouds
163,Davila,PH,18.4726,120.5763,82.38,69,100,17.74,overcast clouds
164,Harihar,IN,14.5167,75.8,76.06,79,100,8.34,overcast clouds
165,Kavieng,PG,-2.5744,150.7967,82.78,75,100,0.81,moderate rain
166,Kaitangata,NZ,-46.2817,169.8464,53.92,59,80,3.96,broken clouds
167,Esperance,AU,-33.8667,121.9,60.64,56,19,19.33,few clouds
168,Kalmunai,LK,7.4167,81.8167,82.04,73,97,3.11,overcast clouds
169,Kaduy,RU,59.2,37.15,51.84,64,6,1.39,clear sky
170,Barcelos,PT,41.5388,-8.6151,60.91,82,0,2.26,clear sky
171,Tasiilaq,GL,65.6145,-37.6368,36.7,98,100,2.98,light rain
172,Camacha,PT,33.0833,-16.3333,63.82,59,75,8.05,broken clouds
173,Verkhovyna,UA,48.1557,24.7911,50.09,92,83,1.72,broken clouds
174,Skjervoy,NO,70.0311,20.9714,43.23,81,8,1.9,clear sky
175,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,87,44,0.87,scattered clouds
176,Cockburn Town,TC,21.4612,-71.1419,80.04,83,0,22.88,clear sky
177,Mayo,US,38.8876,-76.5119,79.9,83,1,1.01,clear sky
178,Thinadhoo,MV,0.5333,72.9333,82.81,75,100,14.63,overcast clouds
179,Atar,MR,20.5169,-13.0499,87.35,16,100,13.02,overcast clouds
180,North Bend,US,43.4065,-124.2243,60.24,74,1,16.11,clear sky
181,Lamu,KE,-2.2717,40.902,76.69,84,54,15.79,light rain
182,Fortuna,US,40.5982,-124.1573,57.92,69,1,1.99,clear sky
183,Arraial Do Cabo,BR,-22.9661,-42.0278,72.93,86,0,21.54,clear sky
184,Ocampo,MX,21.65,-101.5,67.33,32,97,5.88,light rain
185,Victoria,HK,22.2855,114.1577,88.97,77,42,5.99,scattered clouds
186,Kirov,RU,58.5966,49.6601,60.04,63,10,1.63,clear sky
187,Mahebourg,MU,-20.4081,57.7,66.49,94,20,8.05,few clouds
188,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,76.24,53,100,4.0,overcast clouds
189,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,68.7,87,100,8.95,overcast clouds
190,Nha Trang,VN,12.25,109.1833,91.4,62,100,0.83,light rain
191,Akyab,MM,20.15,92.9,82.09,84,90,14.2,overcast clouds
192,Iqaluit,CA,63.7506,-68.5145,29.93,100,90,5.99,light snow
193,Lasa,IT,46.6166,10.7002,58.08,96,100,5.06,overcast clouds
194,Oga,IT,46.4631,10.347,48.69,97,97,6.04,overcast clouds
195,Airai,TL,-8.9266,125.4092,72.12,58,56,3.47,broken clouds
196,Nantucket,US,41.2835,-70.0995,70.97,80,1,14.97,clear sky
197,New Norfolk,AU,-42.7826,147.0587,53.89,61,100,3.0,light rain
198,Ustka,PL,54.5805,16.8619,52.32,72,3,2.95,clear sky
199,Gobabis,NA,-22.45,18.9667,41.5,68,0,11.99,clear sky
200,San Patricio,US,28.017,-97.5169,81.84,84,0,8.03,clear sky
201,Thompson,CA,55.7435,-97.8558,53.76,94,90,11.5,overcast clouds
202,Luanda,AO,-8.8368,13.2343,72.28,92,91,5.93,overcast clouds
203,Geraldton,AU,-28.7667,114.6,67.12,63,0,7.83,clear sky
204,Kampong Thum,KH,12.7111,104.8887,90.9,57,100,2.93,overcast clouds
205,Aketi,CD,2.7388,23.7833,70.18,100,100,2.82,light rain
206,Bosaso,SO,11.2842,49.1816,90.3,42,16,11.54,few clouds
207,Azua,DO,18.4532,-70.7349,78.82,81,34,4.0,scattered clouds
208,Pitsunda,GE,43.1592,40.3378,57.38,77,23,2.17,few clouds
209,Benghazi,LY,32.1167,20.0667,69.12,66,0,9.66,clear sky
210,Newcastle,AU,-32.9272,151.7765,63.91,47,0,4.76,clear sky
211,Jawhar,SO,2.7809,45.5005,74.43,90,40,9.53,scattered clouds
212,Korla,CN,41.7597,86.1469,79.03,30,96,15.03,overcast clouds
213,Semirom,IR,31.4167,51.5667,69.33,21,0,1.21,clear sky
214,Weihai,CN,37.5017,122.1136,79.86,36,6,7.61,clear sky
215,Pimentel,PE,-6.8367,-79.9342,66.99,85,100,1.01,overcast clouds
216,La Paz,BO,-16.5,-68.15,44.58,75,20,4.61,few clouds
217,Alofi,NU,-19.0595,-169.9187,78.69,69,38,10.36,scattered clouds
218,Ancud,CL,-41.8697,-73.8203,47.23,82,91,5.35,overcast clouds
219,Grand Gaube,MU,-20.0064,57.6608,66.6,73,61,1.03,broken clouds
220,Amalapuram,IN,16.5833,82.0167,88.18,67,99,4.23,overcast clouds
221,Suraabad,AZ,40.8192,49.4687,68.18,73,0,19.44,clear sky
222,Saskylakh,RU,71.9167,114.0833,43.27,49,82,10.92,broken clouds
223,Talnakh,RU,69.4865,88.3972,32.09,97,100,5.46,light snow
224,Mandal,IN,25.45,74.5667,88.86,41,2,10.6,clear sky
225,Abay,KZ,49.6311,72.8539,57.58,34,58,11.34,broken clouds
226,Oksbol,DK,55.6268,8.2876,59.92,90,100,7.05,overcast clouds
227,Ixtapa,MX,20.7,-105.2,82.22,81,41,1.99,scattered clouds
228,Khani,GE,41.9563,42.9566,49.57,90,65,0.63,broken clouds
229,Avera,US,33.194,-82.5271,75.7,93,100,4.7,overcast clouds
230,Igrim,RU,63.1906,64.4162,59.88,68,99,9.01,overcast clouds
231,Tuscaloosa,US,33.2098,-87.5692,76.73,94,75,3.44,broken clouds
